path_id,plan_key,firm,account_name,contracts,month_index,month,stage,attempt,starting_balance,ending_balance,pnl,max_drawdown,floor,payouts,fees,cumulative_payouts,cumulative_fees,net_cash,status,strategy_path_id,account_path_id,prefix_application_basis
0,Apex Trader Funding - EOD PA 50K - Funded only,Apex Trader Funding,EOD PA 50K,1,1,2026-07,funded,1,50000.0,51917.5,1917.5,400.0,49917.5,0.0,0.0,0.0,0.0,0.0,active,0,0,ACCOUNT_STATE_BEFORE_PREFIX
0,Apex Trader Funding - EOD PA 50K - Funded only,Apex Trader Funding,EOD PA 50K,1,2,2026-08,funded,1,51917.5,51647.375,1756.125,270.125,50100.0,2026.25,0.0,2026.25,0.0,2026.25,active,0,0,ACCOUNT_STATE_BEFORE_PREFIX
1,Apex Trader Funding - EOD PA 50K - Funded only,Apex Trader Funding,EOD PA 50K,4,1,2026-07,funded,1,50000.0,48400.0,-1600.0,2342.2329942576907,48000.0,0.0,0.0,0.0,0.0,0.0,terminal,0,1,ACCOUNT_STATE_BEFORE_PREFIX
1,Apex Trader Funding - EOD PA 50K - Funded only,Apex Trader Funding,EOD PA 50K,4,2,2026-08,funded,1,48400.0,48400.0,0.0,0.0,48000.0,0.0,0.0,0.0,0.0,0.0,terminal,0,1,ACCOUNT_STATE_BEFORE_PREFIX
2,TakeProfitTrader - PRO 50K - Funded only,TakeProfitTrader,PRO 50K,1,1,2026-07,funded,1,50000.0,51917.5,1917.5,400.0,49994.441751435574,0.0,0.0,0.0,0.0,0.0,active,0,2,ACCOUNT_STATE_BEFORE_PREFIX
2,TakeProfitTrader - PRO 50K - Funded only,TakeProfitTrader,PRO 50K,1,2,2026-08,funded,1,51917.5,50000.0,354.375,2018.6122334007378,50000.0,1817.5,0.0,1817.5,0.0,1817.5,terminal,0,2,ACCOUNT_STATE_BEFORE_PREFIX
3,TakeProfitTrader - PRO 50K - Funded only,TakeProfitTrader,PRO 50K,4,1,2026-07,funded,1,50000.0,48400.0,-1600.0,2342.2329942576907,48000.0,0.0,0.0,0.0,0.0,0.0,terminal,0,3,ACCOUNT_STATE_BEFORE_PREFIX
3,TakeProfitTrader - PRO 50K - Funded only,TakeProfitTrader,PRO 50K,4,2,2026-08,funded,1,48400.0,48400.0,0.0,0.0,48000.0,0.0,0.0,0.0,0.0,0.0,terminal,0,3,ACCOUNT_STATE_BEFORE_PREFIX
4,Apex Trader Funding - EOD PA 50K - Funded only,Apex Trader Funding,EOD PA 50K,1,1,2026-07,funded,1,50000.0,50990.5,990.5,400.0,48990.5,0.0,0.0,0.0,0.0,0.0,active,1,4,ACCOUNT_STATE_BEFORE_PREFIX
4,Apex Trader Funding - EOD PA 50K - Funded only,Apex Trader Funding,EOD PA 50K,1,2,2026-08,funded,1,50990.5,51442.0,451.5,128.625,49683.5,0.0,0.0,0.0,0.0,0.0,active,1,4,ACCOUNT_STATE_BEFORE_PREFIX
5,Apex Trader Funding - EOD PA 50K - Funded only,Apex Trader Funding,EOD PA 50K,4,1,2026-07,funded,1,50000.0,48400.0,-1600.0,2342.2329942576907,48000.0,0.0,0.0,0.0,0.0,0.0,terminal,1,5,ACCOUNT_STATE_BEFORE_PREFIX
5,Apex Trader Funding - EOD PA 50K - Funded only,Apex Trader Funding,EOD PA 50K,4,2,2026-08,funded,1,48400.0,48400.0,0.0,0.0,48000.0,0.0,0.0,0.0,0.0,0.0,terminal,1,5,ACCOUNT_STATE_BEFORE_PREFIX
6,TakeProfitTrader - PRO 50K - Funded only,TakeProfitTrader,PRO 50K,1,1,2026-07,funded,1,50000.0,50990.5,990.5,400.0,49067.441751435574,0.0,0.0,0.0,0.0,0.0,active,1,6,ACCOUNT_STATE_BEFORE_PREFIX
6,TakeProfitTrader - PRO 50K - Funded only,TakeProfitTrader,PRO 50K,1,2,2026-08,funded,1,50990.5,51442.0,451.5,128.625,49753.16038256168,0.0,0.0,0.0,0.0,0.0,active,1,6,ACCOUNT_STATE_BEFORE_PREFIX
7,TakeProfitTrader - PRO 50K - Funded only,TakeProfitTrader,PRO 50K,4,1,2026-07,funded,1,50000.0,48400.0,-1600.0,2342.2329942576907,48000.0,0.0,0.0,0.0,0.0,0.0,terminal,1,7,ACCOUNT_STATE_BEFORE_PREFIX
7,TakeProfitTrader - PRO 50K - Funded only,TakeProfitTrader,PRO 50K,4,2,2026-08,funded,1,48400.0,48400.0,0.0,0.0,48000.0,0.0,0.0,0.0,0.0,0.0,terminal,1,7,ACCOUNT_STATE_BEFORE_PREFIX
8,Apex Trader Funding - EOD PA 50K - Funded only,Apex Trader Funding,EOD PA 50K,1,1,2026-07,funded,1,50000.0,50063.5,63.5,400.0,48063.5,0.0,0.0,0.0,0.0,0.0,active,2,8,ACCOUNT_STATE_BEFORE_PREFIX
8,Apex Trader Funding - EOD PA 50K - Funded only,Apex Trader Funding,EOD PA 50K,1,2,2026-08,funded,1,50063.5,50627.875,564.375,0.0,49593.875,0.0,0.0,0.0,0.0,0.0,active,2,8,ACCOUNT_STATE_BEFORE_PREFIX
9,Apex Trader Funding - EOD PA 50K - Funded only,Apex Trader Funding,EOD PA 50K,4,1,2026-07,funded,1,50000.0,48400.0,-1600.0,2342.2329942576907,48000.0,0.0,0.0,0.0,0.0,0.0,terminal,2,9,ACCOUNT_STATE_BEFORE_PREFIX
9,Apex Trader Funding - EOD PA 50K - Funded only,Apex Trader Funding,EOD PA 50K,4,2,2026-08,funded,1,48400.0,48400.0,0.0,0.0,48000.0,0.0,0.0,0.0,0.0,0.0,terminal,2,9,ACCOUNT_STATE_BEFORE_PREFIX
10,TakeProfitTrader - PRO 50K - Funded only,TakeProfitTrader,PRO 50K,1,1,2026-07,funded,1,50000.0,50063.5,63.5,400.0,48103.36445570538,0.0,0.0,0.0,0.0,0.0,active,2,10,ACCOUNT_STATE_BEFORE_PREFIX
10,TakeProfitTrader - PRO 50K - Funded only,TakeProfitTrader,PRO 50K,1,2,2026-08,funded,1,50063.5,50627.875,564.375,0.0,49663.53538256168,0.0,0.0,0.0,0.0,0.0,active,2,10,ACCOUNT_STATE_BEFORE_PREFIX
11,TakeProfitTrader - PRO 50K - Funded only,TakeProfitTrader,PRO 50K,4,1,2026-07,funded,1,50000.0,48400.0,-1600.0,2342.2329942576907,48000.0,0.0,0.0,0.0,0.0,0.0,terminal,2,11,ACCOUNT_STATE_BEFORE_PREFIX
11,TakeProfitTrader - PRO 50K - Funded only,TakeProfitTrader,PRO 50K,4,2,2026-08,funded,1,48400.0,48400.0,0.0,0.0,48000.0,0.0,0.0,0.0,0.0,0.0,terminal,2,11,ACCOUNT_STATE_BEFORE_PREFIX
12,Apex Trader Funding - EOD PA 50K - Funded only,Apex Trader Funding,EOD PA 50K,1,1,2026-07,funded,1,50000.0,50527.0,527.0,400.0,48527.0,0.0,0.0,0.0,0.0,0.0,active,3,12,ACCOUNT_STATE_BEFORE_PREFIX
12,Apex Trader Funding - EOD PA 50K - Funded only,Apex Trader Funding,EOD PA 50K,1,2,2026-08,funded,1,50527.0,50624.125,97.125,257.25,49235.75,0.0,0.0,0.0,0.0,0.0,active,3,12,ACCOUNT_STATE_BEFORE_PREFIX
13,Apex Trader Funding - EOD PA 50K - Funded only,Apex Trader Funding,EOD PA 50K,4,1,2026-07,funded,1,50000.0,48400.0,-1600.0,2342.2329942576907,48000.0,0.0,0.0,0.0,0.0,0.0,terminal,3,13,ACCOUNT_STATE_BEFORE_PREFIX
13,Apex Trader Funding - EOD PA 50K - Funded only,Apex Trader Funding,EOD PA 50K,4,2,2026-08,funded,1,48400.0,48400.0,0.0,0.0,48000.0,0.0,0.0,0.0,0.0,0.0,terminal,3,13,ACCOUNT_STATE_BEFORE_PREFIX
14,TakeProfitTrader - PRO 50K - Funded only,TakeProfitTrader,PRO 50K,1,1,2026-07,funded,1,50000.0,50527.0,527.0,400.0,48527.15676190716,0.0,0.0,0.0,0.0,0.0,active,3,14,ACCOUNT_STATE_BEFORE_PREFIX
14,TakeProfitTrader - PRO 50K - Funded only,TakeProfitTrader,PRO 50K,1,2,2026-08,funded,1,50527.0,50624.125,97.125,257.25,49305.41038256168,0.0,0.0,0.0,0.0,0.0,active,3,14,ACCOUNT_STATE_BEFORE_PREFIX
15,TakeProfitTrader - PRO 50K - Funded only,TakeProfitTrader,PRO 50K,4,1,2026-07,funded,1,50000.0,48400.0,-1600.0,2342.2329942576907,48000.0,0.0,0.0,0.0,0.0,0.0,terminal,3,15,ACCOUNT_STATE_BEFORE_PREFIX
15,TakeProfitTrader - PRO 50K - Funded only,TakeProfitTrader,PRO 50K,4,2,2026-08,funded,1,48400.0,48400.0,0.0,0.0,48000.0,0.0,0.0,0.0,0.0,0.0,terminal,3,15,ACCOUNT_STATE_BEFORE_PREFIX
16,Apex Trader Funding - EOD PA 50K - Funded only,Apex Trader Funding,EOD PA 50K,1,1,2026-07,funded,1,50000.0,49600.0,-400.0,400.0,48000.0,0.0,0.0,0.0,0.0,0.0,active,4,16,ACCOUNT_STATE_BEFORE_PREFIX
