rr_config_id,path_id,sequence_number,status,record_type,session_date,entry_time,exit_time,holding_duration_minutes,direction,exit_reason,effective_exit_reason,pnl_points,candidate_pnl_points,executed_pnl_points,raw_stop_points,effective_stop_points,target_points,mae_points,mfe_points,cumulative_realized_points,cumulative_forward_only_points,cumulative_combined_points,source_trade_packet_id,source_session_date,source_entry_time,source_exit_time,source_exit_reason,source_ledger_id,evidence_status,excursion_confidence,strict_barrier_status,timestamp_policy,pf_scenario,expectancy_tilt,expected_weighted_source_pf,requested_target_pf,achieved_weighted_source_pf,normalized_source_packet_count,july_source_packet_count,august_source_packet_count,july_source_wins,july_source_losses,july_source_breakevens,august_source_wins,august_source_losses,august_source_breakevens,calibration_winner_multiplier,regime_scenario,point_scale_scenario,geometry_policy,min_effective_stop_points,max_effective_stop_points
1rr,0,1,REALIZED,EXECUTED_TRADE,2026-07-07,,,,,TP,TP,150.0,150.0,150.0,,,,,,150.0,0.0,150.0,,,,,,,USER_CONFIRMED_REALIZED_OUTCOME,UNKNOWN_USER_CONFIRMED,UNKNOWN,USER_CONFIRMED_DATE_ONLY,TARGET_PF,0.0,1.5000000000000004,1.5,1.5000000000000004,753,50,54,21,12,17,16,20,18,1.3451817418616354,stable,current,NORMALIZE_TO_FORWARD_RANGE,100.0,200.0
1rr,0,2,REALIZED,EXECUTED_TRADE,2026-07-08,,,,,SL,SL,-200.0,-200.0,-200.0,,,,,,-50.0,0.0,-50.0,,,,,,,USER_CONFIRMED_REALIZED_OUTCOME,UNKNOWN_USER_CONFIRMED,UNKNOWN,USER_CONFIRMED_DATE_ONLY,TARGET_PF,0.0,1.5000000000000004,1.5,1.5000000000000004,753,50,54,21,12,17,16,20,18,1.3451817418616354,stable,current,NORMALIZE_TO_FORWARD_RANGE,100.0,200.0
1rr,0,3,SYNTHETIC,HISTORICAL_PACKET,2026-07-09,2026-07-09T07:07:00+00:00,2026-07-09T12:31:00+00:00,324.0,long,TP,TP,100.0,100.0,100.0,100.0,100.0,100.0,72.05668257412633,109.76149924405551,-50.0,100.0,50.0,1rr|external_2013_2015|125_lower|2013-07-03 03:07:00-04:00,2013-07-03,2013-07-03 03:07:00-04:00,2013-07-03 08:31:00-04:00,TP,external_2013_2015,SOURCE_VERIFIED,EXACT_SOURCE_VERIFIED,AVAILABLE,SYNTHETIC_SHIFTED_SOURCE_TIME_OF_DAY,TARGET_PF,0.0,1.5000000000000004,1.5,1.5000000000000004,753,50,54,21,12,17,16,20,18,1.3451817418616354,stable,current,NORMALIZE_TO_FORWARD_RANGE,100.0,200.0
1rr,0,4,SYNTHETIC,HISTORICAL_PACKET,2026-07-10,2026-07-10T06:24:00+00:00,2026-07-10T14:39:00+00:00,495.0,long,TP,TP,100.0,100.0,100.0,100.0,100.0,100.0,94.67842076050259,106.0088644628651,-50.0,200.0,150.0,1rr|build_years|127_lower|2018-07-02 02:24:00-04:00,2018-07-02,2018-07-02 02:24:00-04:00,2018-07-02 10:39:00-04:00,TP,build_years,SOURCE_VERIFIED,EXACT_SOURCE_VERIFIED,AVAILABLE,SYNTHETIC_SHIFTED_SOURCE_TIME_OF_DAY,TARGET_PF,0.0,1.5000000000000004,1.5,1.5000000000000004,753,50,54,21,12,17,16,20,18,1.3451817418616354,stable,current,NORMALIZE_TO_FORWARD_RANGE,100.0,200.0
1rr,0,5,SYNTHETIC,HISTORICAL_PACKET,2026-07-13,2026-07-13T01:00:00+00:00,2026-07-13T13:40:00+00:00,760.0,long,SL,SL,-100.0,-100.0,-100.0,100.0,100.0,100.0,115.98516081730277,26.357181525039582,-50.0,100.0,50.0,1rr|build_years|140_lower|2018-07-22 21:00:00-04:00,2018-07-23,2018-07-22 21:00:00-04:00,2018-07-23 09:40:00-04:00,SL,build_years,SOURCE_VERIFIED,EXACT_SOURCE_VERIFIED,AVAILABLE,SYNTHETIC_SHIFTED_SOURCE_TIME_OF_DAY,TARGET_PF,0.0,1.5000000000000004,1.5,1.5000000000000004,753,50,54,21,12,17,16,20,18,1.3451817418616354,stable,current,NORMALIZE_TO_FORWARD_RANGE,100.0,200.0
1rr,0,6,SYNTHETIC,HISTORICAL_PACKET,2026-07-14,2026-07-14T13:37:00+00:00,2026-07-14T13:40:00+00:00,3.0,long,SL,SL,-100.0,-100.0,-100.0,100.0,100.0,100.0,109.3382424098581,32.207651309948666,-50.0,0.0,-50.0,1rr|build_years|652_lower|2020-07-24 09:37:00-04:00,2020-07-24,2020-07-24 09:37:00-04:00,2020-07-24 09:40:00-04:00,SL,build_years,SOURCE_VERIFIED,EXACT_SOURCE_VERIFIED,AVAILABLE,SYNTHETIC_SHIFTED_SOURCE_TIME_OF_DAY,TARGET_PF,0.0,1.5000000000000004,1.5,1.5000000000000004,753,50,54,21,12,17,16,20,18,1.3451817418616354,stable,current,NORMALIZE_TO_FORWARD_RANGE,100.0,200.0
1rr,0,7,SYNTHETIC,HISTORICAL_PACKET,2026-07-15,2026-07-15T07:37:00+00:00,2026-07-15T08:26:00+00:00,49.0,short,BE,BE,0.0,0.0,0.0,100.0,100.0,100.0,15.528337582843463,62.1619511310673,-50.0,0.0,-50.0,1rr|validation|1167_upper|2022-07-18 03:37:00-04:00,2022-07-18,2022-07-18 03:37:00-04:00,2022-07-18 04:26:00-04:00,BE,validation,SOURCE_VERIFIED,EXACT_SOURCE_VERIFIED,AVAILABLE,SYNTHETIC_SHIFTED_SOURCE_TIME_OF_DAY,TARGET_PF,0.0,1.5000000000000004,1.5,1.5000000000000004,753,50,54,21,12,17,16,20,18,1.3451817418616354,stable,current,NORMALIZE_TO_FORWARD_RANGE,100.0,200.0
1rr,0,8,SYNTHETIC,HISTORICAL_PACKET,2026-07-16,2026-07-16T07:49:00+00:00,2026-07-16T09:49:00+00:00,120.0,short,SL,SL,-100.0,-100.0,-100.0,100.0,100.0,100.0,103.59436714548306,23.73896618785026,-50.0,-100.0,-150.0,1rr|build_years|1430_upper|2023-07-27 03:49:00-04:00,2023-07-27,2023-07-27 03:49:00-04:00,2023-07-27 05:49:00-04:00,SL,build_years,SOURCE_VERIFIED,EXACT_SOURCE_VERIFIED,AVAILABLE,SYNTHETIC_SHIFTED_SOURCE_TIME_OF_DAY,TARGET_PF,0.0,1.5000000000000004,1.5,1.5000000000000004,753,50,54,21,12,17,16,20,18,1.3451817418616354,stable,current,NORMALIZE_TO_FORWARD_RANGE,100.0,200.0
1rr,0,9,SYNTHETIC,HISTORICAL_PACKET,2026-07-17,2026-07-17T10:40:00+00:00,2026-07-17T13:00:00+00:00,140.0,short,TP,TP,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,100.0,100.00000000000001,42.29543686600605,106.88489100284643,-50.0,1.4210854715202004e-14,-49.999999999999986,1rr|build_years|644_upper|2020-07-06 19:33:00-04:00,2020-07-07,2020-07-06 19:33:00-04:00,2020-07-06 21:53:00-04:00,TP,build_years,SOURCE_VERIFIED,EXACT_SOURCE_VERIFIED,AVAILABLE,SYNTHETIC_SHIFTED_SOURCE_TIME_OF_DAY,TARGET_PF,0.0,1.5000000000000004,1.5,1.5000000000000004,753,50,54,21,12,17,16,20,18,1.3451817418616354,stable,current,NORMALIZE_TO_FORWARD_RANGE,100.0,200.0
1rr,0,10,SYNTHETIC,HISTORICAL_PACKET,2026-07-20,2026-07-20T12:49:00+00:00,2026-07-20T13:38:00+00:00,49.0,short,TP,TP,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,100.0,100.00000000000001,10.733325230569628,112.34359784635346,-50.0,100.00000000000003,50.00000000000003,1rr|external_2013_2015|143_upper|2013-07-30 08:49:00-04:00,2013-07-30,2013-07-30 08:49:00-04:00,2013-07-30 09:38:00-04:00,TP,external_2013_2015,SOURCE_VERIFIED,EXACT_SOURCE_VERIFIED,AVAILABLE,SYNTHETIC_SHIFTED_SOURCE_TIME_OF_DAY,TARGET_PF,0.0,1.5000000000000004,1.5,1.5000000000000004,753,50,54,21,12,17,16,20,18,1.3451817418616354,stable,current,NORMALIZE_TO_FORWARD_RANGE,100.0,200.0
1rr,0,11,SYNTHETIC,HISTORICAL_PACKET,2026-08-03,2026-08-03T07:31:00+00:00,2026-08-03T08:44:00+00:00,73.0,long,BE,BE,0.0,0.0,0.0,100.875,100.875,100.875,19.597887679556152,43.65211232044385,-50.0,100.00000000000003,50.00000000000003,1rr|build_years|1430_lower|2023-08-03 03:31:00-04:00,2023-08-03,2023-08-03 03:31:00-04:00,2023-08-03 04:44:00-04:00,BE,build_years,SOURCE_VERIFIED,EXACT_SOURCE_VERIFIED,AVAILABLE,SYNTHETIC_SHIFTED_SOURCE_TIME_OF_DAY,TARGET_PF,0.0,1.5000000000000004,1.5,1.5000000000000004,753,50,54,21,12,17,16,20,18,1.3451817418616354,stable,current,NORMALIZE_TO_FORWARD_RANGE,100.0,200.0
1rr,0,12,SYNTHETIC,HISTORICAL_PACKET,2026-08-04,2026-08-04T06:05:00+00:00,2026-08-04T07:11:00+00:00,66.0,short,SL,SL,-100.0,-100.0,-100.0,100.0,100.0,100.0,112.0513209680925,48.732992757397696,-50.0,2.842170943040401e-14,-49.99999999999997,1rr|build_years|663_upper|2020-08-05 02:05:00-04:00,2020-08-05,2020-08-05 02:05:00-04:00,2020-08-05 03:11:00-04:00,SL,build_years,SOURCE_VERIFIED,EXACT_SOURCE_VERIFIED,AVAILABLE,SYNTHETIC_SHIFTED_SOURCE_TIME_OF_DAY,TARGET_PF,0.0,1.5000000000000004,1.5,1.5000000000000004,753,50,54,21,12,17,16,20,18,1.3451817418616354,stable,current,NORMALIZE_TO_FORWARD_RANGE,100.0,200.0
