path_id,plan_key,firm,account_name,contracts,month_index,month,stage,attempt,starting_balance,ending_balance,pnl,max_drawdown,floor,payouts,fees,cumulative_payouts,cumulative_fees,net_cash,status,strategy_path_id,account_path_id,prefix_application_basis
0,Apex Trader Funding - EOD PA 50K - Funded only,Apex Trader Funding,EOD PA 50K,1,1,2026-07,funded,1,50000.0,50700.0,700.0,100.0,48700.0,0.0,0.0,0.0,0.0,0.0,active,0,0,ACCOUNT_STATE_BEFORE_PREFIX
0,Apex Trader Funding - EOD PA 50K - Funded only,Apex Trader Funding,EOD PA 50K,1,2,2026-08,funded,1,50700.0,51100.0,400.0,0.0,49300.0,0.0,0.0,0.0,0.0,0.0,active,0,0,ACCOUNT_STATE_BEFORE_PREFIX
1,Apex Trader Funding - EOD PA 50K - Funded only,Apex Trader Funding,EOD PA 50K,4,1,2026-07,funded,1,50000.0,52100.0,2800.0,400.0,50100.0,700.0,0.0,700.0,0.0,700.0,active,0,1,ACCOUNT_STATE_BEFORE_PREFIX
1,Apex Trader Funding - EOD PA 50K - Funded only,Apex Trader Funding,EOD PA 50K,4,2,2026-08,funded,1,52100.0,52200.0,1600.0,0.0,50100.0,1500.0,0.0,2200.0,0.0,2200.0,active,0,1,ACCOUNT_STATE_BEFORE_PREFIX
2,Alpha Futures - Advanced 50K - Funded only,Alpha Futures,Advanced 50K,1,1,2026-07,funded,1,50000.0,50700.0,700.0,100.0,48950.0,0.0,0.0,0.0,0.0,0.0,active,0,2,ACCOUNT_STATE_BEFORE_PREFIX
2,Alpha Futures - Advanced 50K - Funded only,Alpha Futures,Advanced 50K,1,2,2026-08,funded,1,50700.0,51100.0,400.0,0.0,49550.0,0.0,0.0,0.0,0.0,0.0,active,0,2,ACCOUNT_STATE_BEFORE_PREFIX
3,Alpha Futures - Advanced 50K - Funded only,Alpha Futures,Advanced 50K,4,1,2026-07,funded,1,50000.0,51400.0,2800.0,400.0,50000.0,1260.0,0.0,1260.0,0.0,1260.0,active,0,3,ACCOUNT_STATE_BEFORE_PREFIX
3,Alpha Futures - Advanced 50K - Funded only,Alpha Futures,Advanced 50K,4,2,2026-08,funded,1,51400.0,51500.0,1600.0,0.0,50000.0,1350.0,0.0,2610.0,0.0,2610.0,active,0,3,ACCOUNT_STATE_BEFORE_PREFIX
4,Apex Trader Funding - EOD PA 50K - Funded only,Apex Trader Funding,EOD PA 50K,1,1,2026-07,funded,1,50000.0,50100.0,100.0,300.0,48500.0,0.0,0.0,0.0,0.0,0.0,active,1,4,ACCOUNT_STATE_BEFORE_PREFIX
4,Apex Trader Funding - EOD PA 50K - Funded only,Apex Trader Funding,EOD PA 50K,1,2,2026-08,funded,1,50100.0,50458.5,358.5,0.0,48858.5,0.0,0.0,0.0,0.0,0.0,active,1,4,ACCOUNT_STATE_BEFORE_PREFIX
