rr_config_id,path_id,sequence_number,status,record_type,session_date,entry_time,exit_time,holding_duration_minutes,direction,exit_reason,effective_exit_reason,pnl_points,candidate_pnl_points,executed_pnl_points,raw_stop_points,effective_stop_points,target_points,mae_points,mfe_points,cumulative_realized_points,cumulative_forward_only_points,cumulative_combined_points,source_trade_packet_id,source_session_date,source_entry_time,source_exit_time,source_exit_reason,source_ledger_id,evidence_status,excursion_confidence,strict_barrier_status,timestamp_policy,pf_scenario,expectancy_tilt,expected_weighted_source_pf,regime_scenario,point_scale_scenario
1_5rr,0,1,REALIZED,EXECUTED_TRADE,2026-07-07,,,,,BE,BE,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,,,USER_CONFIRMED_REALIZED_OUTCOME,UNKNOWN_USER_CONFIRMED,UNKNOWN,USER_CONFIRMED_DATE_ONLY,BASE_EXPECTANCY,0.0,1.4483330825729197,stable,current
1_5rr,0,2,REALIZED,EXECUTED_TRADE,2026-07-08,,,,,SL,SL,-200.0,-200.0,-200.0,,,,,,-200.0,0.0,-200.0,,,,,,,USER_CONFIRMED_REALIZED_OUTCOME,UNKNOWN_USER_CONFIRMED,UNKNOWN,USER_CONFIRMED_DATE_ONLY,BASE_EXPECTANCY,0.0,1.4483330825729197,stable,current
1_5rr,0,3,SYNTHETIC,HISTORICAL_PACKET,2026-07-09,2026-07-09T07:07:00+00:00,2026-07-09T13:51:00+00:00,404.0,long,TP,TP,18.5625,18.5625,18.5625,12.375,12.375,18.5625,8.917014468548132,18.582985531451868,-200.0,18.5625,-181.4375,1_5rr|external_2013_2015|125_lower|2013-07-03 03:07:00-04:00,2013-07-03,2013-07-03 03:07:00-04:00,2013-07-03 09:51:00-04:00,TP,external_2013_2015,SOURCE_VERIFIED,EXACT_SOURCE_VERIFIED,AVAILABLE,SYNTHETIC_SHIFTED_SOURCE_TIME_OF_DAY,BASE_EXPECTANCY,0.0,1.4483330825729197,stable,current
1_5rr,0,4,SYNTHETIC,HISTORICAL_PACKET,2026-07-10,2026-07-10T05:32:00+00:00,2026-07-10T13:40:00+00:00,488.0,short,BE,BE,-0.0,-0.0,-0.0,56.25,56.25,84.375,2.769213186276829,50.23078681372317,-200.0,18.5625,-181.4375,1_5rr|build_years|131_upper|2018-07-06 01:32:00-04:00,2018-07-06,2018-07-06 01:32:00-04:00,2018-07-06 09:40:00-04:00,BE,build_years,SOURCE_VERIFIED,EXACT_SOURCE_VERIFIED,AVAILABLE,SYNTHETIC_SHIFTED_SOURCE_TIME_OF_DAY,BASE_EXPECTANCY,0.0,1.4483330825729197,stable,current
1_5rr,0,5,SYNTHETIC,HISTORICAL_PACKET,2026-07-13,2026-07-13T13:44:00+00:00,2026-07-13T14:35:00+00:00,51.0,long,BE,BE,0.0,0.0,0.0,30.75,30.75,46.125,16.158261951897657,23.091738048102343,-200.0,18.5625,-181.4375,1_5rr|build_years|136_lower|2018-07-30 09:44:00-04:00,2018-07-30,2018-07-30 09:44:00-04:00,2018-07-30 10:35:00-04:00,BE,build_years,SOURCE_VERIFIED,EXACT_SOURCE_VERIFIED,AVAILABLE,SYNTHETIC_SHIFTED_SOURCE_TIME_OF_DAY,BASE_EXPECTANCY,0.0,1.4483330825729197,stable,current
1_5rr,0,6,SYNTHETIC,HISTORICAL_PACKET,2026-07-14,2026-07-14T07:06:00+00:00,2026-07-14T07:58:00+00:00,52.0,short,SL,SL,-23.625,-23.625,-23.625,23.625,23.625,35.4375,30.635071334756503,10.614928665243497,-200.0,-5.0625,-205.0625,1_5rr|validation|900_upper|2021-07-07 03:06:00-04:00,2021-07-07,2021-07-07 03:06:00-04:00,2021-07-07 03:58:00-04:00,SL,validation,SOURCE_VERIFIED,EXACT_SOURCE_VERIFIED,AVAILABLE,SYNTHETIC_SHIFTED_SOURCE_TIME_OF_DAY,BASE_EXPECTANCY,0.0,1.4483330825729197,stable,current
1_5rr,0,7,SYNTHETIC,HISTORICAL_PACKET,2026-07-15,2026-07-15T12:48:00+00:00,2026-07-15T13:30:00+00:00,42.0,short,SL,SL,-57.375,-57.375,-57.375,57.375,57.375,86.0625,73.41665803054457,31.583341969455432,-200.0,-62.4375,-262.4375,1_5rr|validation|1166_upper|2022-07-15 08:48:00-04:00,2022-07-15,2022-07-15 08:48:00-04:00,2022-07-15 09:30:00-04:00,SL,validation,SOURCE_VERIFIED,EXACT_SOURCE_VERIFIED,AVAILABLE,SYNTHETIC_SHIFTED_SOURCE_TIME_OF_DAY,BASE_EXPECTANCY,0.0,1.4483330825729197,stable,current
1_5rr,0,8,SYNTHETIC,HISTORICAL_PACKET,2026-07-16,2026-07-16T07:49:00+00:00,2026-07-16T09:49:00+00:00,120.0,short,SL,SL,-37.5,-37.5,-37.5,37.5,37.5,56.25,38.84788767955615,8.902112320443848,-200.0,-99.9375,-299.9375,1_5rr|build_years|1430_upper|2023-07-27 03:49:00-04:00,2023-07-27,2023-07-27 03:49:00-04:00,2023-07-27 05:49:00-04:00,SL,build_years,SOURCE_VERIFIED,EXACT_SOURCE_VERIFIED,AVAILABLE,SYNTHETIC_SHIFTED_SOURCE_TIME_OF_DAY,BASE_EXPECTANCY,0.0,1.4483330825729197,stable,current
1_5rr,0,9,SYNTHETIC,HISTORICAL_PACKET,2026-07-17,2026-07-17T12:51:00+00:00,2026-07-17T13:38:00+00:00,47.0,long,BE,BE,0.0,0.0,0.0,123.75,123.75,185.625,92.77912428221134,38.47087571778866,-200.0,-99.9375,-299.9375,1_5rr|build_years|647_lower|2020-07-14 08:51:00-04:00,2020-07-14,2020-07-14 08:51:00-04:00,2020-07-14 09:38:00-04:00,BE,build_years,SOURCE_VERIFIED,EXACT_SOURCE_VERIFIED,AVAILABLE,SYNTHETIC_SHIFTED_SOURCE_TIME_OF_DAY,BASE_EXPECTANCY,0.0,1.4483330825729197,stable,current
1_5rr,0,10,SYNTHETIC,HISTORICAL_PACKET,2026-07-20,2026-07-20T06:24:00+00:00,2026-07-20T18:04:00+00:00,700.0,long,TP,TP,54.5625,54.5625,54.5625,36.375,36.375,54.5625,34.43927555163282,55.31072444836718,-200.0,-45.375,-245.375,1_5rr|build_years|127_lower|2018-07-02 02:24:00-04:00,2018-07-02,2018-07-02 02:24:00-04:00,2018-07-02 14:04:00-04:00,TP,build_years,SOURCE_VERIFIED,EXACT_SOURCE_VERIFIED,AVAILABLE,SYNTHETIC_SHIFTED_SOURCE_TIME_OF_DAY,BASE_EXPECTANCY,0.0,1.4483330825729197,stable,current
1_5rr,0,11,SYNTHETIC,HISTORICAL_PACKET,2026-08-03,2026-08-03T12:07:00+00:00,2026-08-03T13:00:00+00:00,53.0,long,BE,BE,0.0,0.0,0.0,24.375,24.375,36.5625,9.999306880967197,14.750693119032803,-200.0,-45.375,-245.375,1_5rr|build_years|1447_lower|2023-08-16 20:19:00-04:00,2023-08-17,2023-08-16 20:19:00-04:00,2023-08-16 21:12:00-04:00,BE,build_years,SOURCE_VERIFIED,EXACT_SOURCE_VERIFIED,AVAILABLE,SYNTHETIC_SHIFTED_SOURCE_TIME_OF_DAY,BASE_EXPECTANCY,0.0,1.4483330825729197,stable,current
1_5rr,0,12,SYNTHETIC,HISTORICAL_PACKET,2026-08-04,2026-08-04T13:31:00+00:00,2026-08-04T14:20:00+00:00,49.0,short,BE,BE,-0.0,-0.0,-0.0,93.375,93.375,140.0625,30.6106694054979,30.8893305945021,-200.0,-45.375,-245.375,1_5rr|build_years|670_upper|2020-08-13 09:31:00-04:00,2020-08-13,2020-08-13 09:31:00-04:00,2020-08-13 10:20:00-04:00,BE,build_years,SOURCE_VERIFIED,EXACT_SOURCE_VERIFIED,AVAILABLE,SYNTHETIC_SHIFTED_SOURCE_TIME_OF_DAY,BASE_EXPECTANCY,0.0,1.4483330825729197,stable,current
