path_id,plan_key,event_order,month_index,date,stage,event,amount,balance,floor,attempt,note,strategy_path_id,prefix_application_basis
0,Apex Trader Funding - EOD PA 50K - Funded only,1,2,2026-08-07,funded,funded_failed,0.0,50021.67411896348,49700.0,1,Drawdown breached,0,ACCOUNT_STATE_BEFORE_PREFIX
0,Apex Trader Funding - EOD PA 50K - Funded only,2,2,2026-08-18,funded,terminal,0.0,50021.67411896348,49700.0,1,capital budget exhausted or rebuys disabled,0,ACCOUNT_STATE_BEFORE_PREFIX
0,Alpha Futures - Advanced 50K - Funded only,1,1,2026-07-09,funded,funded_failed,0.0,50100.0,49950.0,1,Drawdown breached,0,ACCOUNT_STATE_BEFORE_PREFIX
0,Alpha Futures - Advanced 50K - Funded only,2,2,2026-08-18,funded,terminal,0.0,50100.0,49950.0,1,capital budget exhausted or rebuys disabled,0,ACCOUNT_STATE_BEFORE_PREFIX
1,Apex Trader Funding - EOD PA 50K - Funded only,1,1,2026-07-16,funded,funded_failed,0.0,49713.0,49700.0,1,Drawdown breached,1,ACCOUNT_STATE_BEFORE_PREFIX
1,Apex Trader Funding - EOD PA 50K - Funded only,2,2,2026-08-18,funded,terminal,0.0,49713.0,49700.0,1,capital budget exhausted or rebuys disabled,1,ACCOUNT_STATE_BEFORE_PREFIX
1,Alpha Futures - Advanced 50K - Funded only,1,1,2026-07-14,funded,funded_failed,0.0,50121.0,49950.0,1,Drawdown breached,1,ACCOUNT_STATE_BEFORE_PREFIX
1,Alpha Futures - Advanced 50K - Funded only,2,2,2026-08-18,funded,terminal,0.0,50121.0,49950.0,1,capital budget exhausted or rebuys disabled,1,ACCOUNT_STATE_BEFORE_PREFIX
2,Alpha Futures - Advanced 50K - Funded only,1,2,2026-08-06,funded,funded_failed,0.0,50253.0,49950.0,1,Drawdown breached,2,ACCOUNT_STATE_BEFORE_PREFIX
2,Alpha Futures - Advanced 50K - Funded only,2,2,2026-08-18,funded,terminal,0.0,50253.0,49950.0,1,capital budget exhausted or rebuys disabled,2,ACCOUNT_STATE_BEFORE_PREFIX
3,Apex Trader Funding - EOD PA 50K - Funded only,1,2,2026-08-06,funded,funded_failed,0.0,49731.0,49700.0,1,Drawdown breached,3,ACCOUNT_STATE_BEFORE_PREFIX
3,Apex Trader Funding - EOD PA 50K - Funded only,2,2,2026-08-18,funded,terminal,0.0,49731.0,49700.0,1,capital budget exhausted or rebuys disabled,3,ACCOUNT_STATE_BEFORE_PREFIX
3,Alpha Futures - Advanced 50K - Funded only,1,2,2026-08-05,funded,funded_failed,0.0,50139.0,49950.0,1,Drawdown breached,3,ACCOUNT_STATE_BEFORE_PREFIX
3,Alpha Futures - Advanced 50K - Funded only,2,2,2026-08-18,funded,terminal,0.0,50139.0,49950.0,1,capital budget exhausted or rebuys disabled,3,ACCOUNT_STATE_BEFORE_PREFIX
4,Apex Trader Funding - EOD PA 50K - Funded only,1,1,2026-07-09,funded,funded_failed,0.0,50100.0,49700.0,1,Drawdown breached,4,ACCOUNT_STATE_BEFORE_PREFIX
4,Apex Trader Funding - EOD PA 50K - Funded only,2,2,2026-08-18,funded,terminal,0.0,50100.0,49700.0,1,capital budget exhausted or rebuys disabled,4,ACCOUNT_STATE_BEFORE_PREFIX
4,Alpha Futures - Advanced 50K - Funded only,1,1,2026-07-09,funded,funded_failed,0.0,50100.0,49950.0,1,Drawdown breached,4,ACCOUNT_STATE_BEFORE_PREFIX
4,Alpha Futures - Advanced 50K - Funded only,2,2,2026-08-18,funded,terminal,0.0,50100.0,49950.0,1,capital budget exhausted or rebuys disabled,4,ACCOUNT_STATE_BEFORE_PREFIX
5,Apex Trader Funding - EOD PA 50K - Funded only,1,1,2026-07-20,funded,funded_failed,0.0,49782.0,49700.0,1,Drawdown breached,5,ACCOUNT_STATE_BEFORE_PREFIX
5,Apex Trader Funding - EOD PA 50K - Funded only,2,2,2026-08-18,funded,terminal,0.0,49782.0,49700.0,1,capital budget exhausted or rebuys disabled,5,ACCOUNT_STATE_BEFORE_PREFIX
5,Alpha Futures - Advanced 50K - Funded only,1,1,2026-07-09,funded,funded_failed,0.0,50100.0,49950.0,1,Drawdown breached,5,ACCOUNT_STATE_BEFORE_PREFIX
5,Alpha Futures - Advanced 50K - Funded only,2,2,2026-08-18,funded,terminal,0.0,50100.0,49950.0,1,capital budget exhausted or rebuys disabled,5,ACCOUNT_STATE_BEFORE_PREFIX
6,Apex Trader Funding - EOD PA 50K - Funded only,1,1,2026-07-14,funded,funded_failed,0.0,49827.0,49700.0,1,Drawdown breached,6,ACCOUNT_STATE_BEFORE_PREFIX
6,Apex Trader Funding - EOD PA 50K - Funded only,2,2,2026-08-18,funded,terminal,0.0,49827.0,49700.0,1,capital budget exhausted or rebuys disabled,6,ACCOUNT_STATE_BEFORE_PREFIX
6,Alpha Futures - Advanced 50K - Funded only,1,1,2026-07-13,funded,funded_failed,0.0,50235.0,49950.0,1,Drawdown breached,6,ACCOUNT_STATE_BEFORE_PREFIX
6,Alpha Futures - Advanced 50K - Funded only,2,2,2026-08-18,funded,terminal,0.0,50235.0,49950.0,1,capital budget exhausted or rebuys disabled,6,ACCOUNT_STATE_BEFORE_PREFIX
7,Apex Trader Funding - EOD PA 50K - Funded only,1,1,2026-07-13,funded,funded_failed,0.0,50100.0,49700.0,1,Drawdown breached,7,ACCOUNT_STATE_BEFORE_PREFIX
7,Apex Trader Funding - EOD PA 50K - Funded only,2,2,2026-08-18,funded,terminal,0.0,50100.0,49700.0,1,capital budget exhausted or rebuys disabled,7,ACCOUNT_STATE_BEFORE_PREFIX
7,Alpha Futures - Advanced 50K - Funded only,1,1,2026-07-13,funded,funded_failed,0.0,50100.0,49950.0,1,Drawdown breached,7,ACCOUNT_STATE_BEFORE_PREFIX
7,Alpha Futures - Advanced 50K - Funded only,2,2,2026-08-18,funded,terminal,0.0,50100.0,49950.0,1,capital budget exhausted or rebuys disabled,7,ACCOUNT_STATE_BEFORE_PREFIX
8,Apex Trader Funding - EOD PA 50K - Funded only,1,1,2026-07-13,funded,funded_failed,0.0,50100.0,49700.0,1,Drawdown breached,8,ACCOUNT_STATE_BEFORE_PREFIX
8,Apex Trader Funding - EOD PA 50K - Funded only,2,2,2026-08-18,funded,terminal,0.0,50100.0,49700.0,1,capital budget exhausted or rebuys disabled,8,ACCOUNT_STATE_BEFORE_PREFIX
8,Alpha Futures - Advanced 50K - Funded only,1,1,2026-07-13,funded,funded_failed,0.0,50100.0,49950.0,1,Drawdown breached,8,ACCOUNT_STATE_BEFORE_PREFIX
